timestamp_enter,timestamp_exit
1533984774.000000,1533985251.000000
1533985352.000000,1533985479.000000
1533985494.000000,1533985820.000000
1533985839.000000,1533985951.000000
1533985969.000000,1533986045.000000
1533986322.000000,1533986550.000000
1533987084.000000,1533987287.000000
1533987850.000000,1533987926.000000
1533988004.000000,1533988123.000000
1533988732.000000,1533988814.000000
1533989813.000000,1533990104.000000
1533990244.000000,1533990583.000000
1533991008.000000,1533991075.000000
1533991381.000000,1533991779.000000
1533992156.000000,1533992301.000000
1533992319.000000,1533992386.000000
1533992638.000000,1533992729.000000
1533992747.000000,1533992880.000000
1533993890.000000,1533994087.000000
1533994099.000000,1533994166.000000
1533994394.000000,1533994637.000000
1533995343.000000,1533995464.000000
1533995616.000000,1533996021.000000
