timestamp_enter,timestamp_exit
1533985193.000000,1533985256.000000
1533985260.000000,1533985324.000000
1533985656.000000,1533985718.000000
1533985724.000000,1533985896.000000
1533985924.000000,1533985987.000000
1533986032.000000,1533986121.000000
1533986828.000000,1533986930.000000
1533986973.000000,1533987064.000000
1533987237.000000,1533987454.000000
1533987707.000000,1533987827.000000
1533988180.000000,1533988242.000000
1533988525.000000,1533988639.000000
1533989744.000000,1533989812.000000
1533990012.000000,1533990076.000000
1533990485.000000,1533990590.000000
1533990613.000000,1533990723.000000
1533990727.000000,1533990820.000000
1533991859.000000,1533991936.000000
1533992432.000000,1533992629.000000
1533993297.000000,1533993363.000000
1533993742.000000,1533993877.000000
1533993884.000000,1533993990.000000
1533994505.000000,1533994576.000000
1533994779.000000,1533994850.000000
1533994891.000000,1533994959.000000
1533995196.000000,1533995264.000000
1533995731.000000,1533995847.000000
1533995877.000000,1533995982.000000
1533998267.000000,1533998336.000000
1533998346.000000,1533998412.000000
1533998714.000000,1533998824.000000
1533998917.000000,1533999060.000000
1533999074.000000,1533999230.000000
1533999236.000000,1533999343.000000
1533999919.000000,1534000037.000000
1534000288.000000,1534000402.000000
1534000408.000000,1534000474.000000
1534000648.000000,1534000775.000000
1534001521.000000,1534001718.000000
