timestamp,lat,lon,bearing,bearing_change_rate,gsp,flying,circling
1533984520.000000,46.706833,8.799117,180.000000,0.000000,0.000000,False,False
1533984550.000000,46.706667,8.799117,101.003143,0.000000,2.223899,False,False
1533984580.000000,46.706633,8.799367,145.560218,1.485236,2.330344,False,False
1533984610.000000,46.706600,8.799400,180.000000,1.147993,0.539309,False,False
1533984641.000000,46.706550,8.799400,101.693137,-2.526028,0.645648,False,False
1533984671.000000,46.706183,8.801983,75.768902,-0.864141,24.138692,True,False
1533984674.000000,46.706250,8.802367,85.829591,-0.480714,36.185786,True,False
1533984677.000000,46.706267,8.802700,79.669106,0.650034,30.581242,True,False
1533984680.000000,46.706317,8.803100,81.421048,-0.734757,37.203411,True,False
1533984683.000000,46.706367,8.803583,69.171931,-1.749529,44.725732,True,False
1533984686.000000,46.706467,8.803967,53.902441,-4.586435,37.527543,True,False
1533984689.000000,46.706617,8.804267,67.380583,-0.298558,33.972220,True,False
1533984692.000000,46.706717,8.804617,59.744092,0.973609,34.693653,True,False
1533984695.000000,46.706850,8.804950,58.449104,-1.488580,35.309700,True,False
1533984698.000000,46.706983,8.805267,55.763014,-0.663513,34.001052,True,False
1533984701.000000,46.707100,8.805517,52.330167,-1.019823,27.669483,True,False
1533984704.000000,46.707250,8.805800,56.725413,0.160400,32.752077,True,False
1533984708.000000,46.707400,8.806133,59.743777,1.059087,27.360444,True,False
1533984711.000000,46.707533,8.806467,64.075222,1.049973,35.309367,True,False
1533984714.000000,46.707650,8.806817,62.959563,0.535964,35.607707,True,False
1533984717.000000,46.707767,8.807150,64.075124,-0.000016,34.242622,True,False
1533984720.000000,46.707883,8.807500,53.901725,-1.509640,35.607583,True,False
1533984723.000000,46.708033,8.807800,56.725032,-1.225015,33.971638,True,False
1533984726.000000,46.708183,8.808133,66.066250,2.027421,36.480222,True,False
1533984729.000000,46.708300,8.808517,69.171249,2.074370,38.373529,True,False
1533984732.000000,46.708400,8.808900,68.310708,0.374076,37.526369,True,False
1533984735.000000,46.708500,8.809267,58.448323,-1.787154,36.105087,True,False
1533984738.000000,46.708633,8.809583,65.107650,-0.533843,34.000297,True,False
1533984741.000000,46.708750,8.809950,64.074714,0.937732,36.984614,True,False
1533984744.000000,46.708867,8.810300,60.944935,-0.693786,35.607058,True,False
1533984747.000000,46.709000,8.810650,66.957183,0.480411,36.633915,True,False
1533984750.000000,46.709117,8.811050,65.499264,0.759055,39.771667,True,False
1533984753.000000,46.709283,8.811583,72.409390,0.908701,53.626444,True,False
1533984756.000000,46.709367,8.811967,89.999885,4.083437,36.793762,True,False
1533984759.000000,46.709367,8.812283,99.204126,4.465789,28.973591,True,False
1533984762.000000,46.709333,8.812583,65.107366,-4.148753,27.806700,True,False
1533984765.000000,46.709450,8.812950,74.475408,-4.121453,36.984219,True,False
1533984768.000000,46.709517,8.813300,85.829340,3.453662,33.235945,True,False
1533984771.000000,46.709533,8.813633,44.725029,-4.958396,30.579401,True,False
