timestamp,lat,lon,bearing,bearing_change_rate,gsp,flying,circling
1533985074.000000,46.704567,8.804133,112.618450,-10.408489,26.483080,True,True
1533985075.000000,46.704533,8.804250,89.999964,-12.250115,34.694812,True,True
1533985076.000000,46.704533,8.804350,89.999958,-11.111862,27.451123,True,True
1533985077.000000,46.704533,8.804467,69.970183,-14.115686,32.026310,True,True
1533985078.000000,46.704567,8.804600,57.996292,-12.451690,38.957860,True,True
1533985079.000000,46.704617,8.804717,45.808772,-13.361936,37.766202,True,True
1533985080.000000,46.704683,8.804817,34.440686,-11.111856,38.285052,True,True
1533985081.000000,46.704750,8.804883,15.339105,-14.932171,32.358916,True,True
1533985082.000000,46.704833,8.804917,9.728160,-12.048405,34.590701,True,True
1533985083.000000,46.704900,8.804933,0.000000,-11.599258,27.076123,True,True
1533985084.000000,46.705000,8.804933,-18.925650,-12.946884,40.030174,True,True
1533985085.000000,46.705100,8.804883,-29.746242,-12.837386,42.317871,True,True
1533985086.000000,46.705200,8.804800,-57.995990,-14.667019,46.105436,True,True
1533985087.000000,46.705250,8.804683,-64.076261,-14.760884,37.765883,True,True
1533985088.000000,46.705300,8.804533,-89.999951,-17.999990,45.782927,True,True
1533985089.000000,46.705300,8.804400,-89.999951,-14.214860,36.600977,True,True
1533985090.000000,46.705300,8.804267,-100.330513,-14.116854,36.600977,True,True
1533985091.000000,46.705283,8.804133,-115.923644,-11.585531,37.204078,True,True
1533985092.000000,46.705250,8.804033,-100.330504,-7.250848,30.521955,True,True
1533985093.000000,46.705233,8.803900,-110.029948,-4.005999,37.204112,True,True
1533985094.000000,46.705200,8.803767,-122.003901,-6.400790,38.957435,True,True
1533985095.000000,46.705150,8.803650,-129.803923,-5.894682,37.765908,True,True
1533985096.000000,46.705083,8.803533,-151.250651,-7.065401,41.687489,True,True
1533985097.000000,46.705000,8.803467,-161.074293,-12.148758,38.048642,True,True
1533985098.000000,46.704933,8.803433,-170.271833,-12.048377,28.211919,True,True
1533985099.000000,46.704867,8.803417,-167.124220,-9.024064,27.076122,True,True
1533985100.000000,46.704817,8.803400,180.000000,-10.039215,20.531337,True,True
1533985101.000000,46.704750,8.803400,172.190504,-7.311769,26.686782,True,True
1533985102.000000,46.704667,8.803417,167.124162,-6.360309,33.670763,True,True
1533985103.000000,46.704567,8.803450,145.559165,-8.833800,41.062682,True,True
1533985104.000000,46.704483,8.803533,137.561772,-11.062802,40.448691,True,True
1533985105.000000,46.704433,8.803600,115.923289,-12.815342,27.120509,True,True
1533985106.000000,46.704400,8.803700,103.660192,-13.706062,30.522344,True,True
1533985107.000000,46.704383,8.803800,103.660187,-12.692795,28.250303,True,True
1533985108.000000,46.704367,8.803900,89.999964,-11.111840,28.250311,True,True
1533985109.000000,46.704367,8.804000,100.330338,-7.446287,27.451207,True,True
1533985110.000000,46.704350,8.804133,89.999958,-5.184666,37.204701,True,False
1533985111.000000,46.704350,8.804250,101.767430,-0.378552,32.026418,True,False
1533985112.000000,46.704333,8.804367,78.232485,-5.085541,32.713962,True,False
1533985113.000000,46.704350,8.804483,89.999964,0.000000,32.713962,True,False
1533985114.000000,46.704350,8.804583,73.740859,-5.317896,27.451216,True,False
1533985115.000000,46.704367,8.804667,73.740854,-3.251821,23.829044,True,False
1533985116.000000,46.704383,8.804750,48.816035,-10.590279,23.829037,True,True
1533985117.000000,46.704433,8.804833,48.816009,-5.883295,30.395963,True,True
1533985118.000000,46.704483,8.804917,48.815982,-8.236796,30.395947,True,True
1533985119.000000,46.704533,8.805000,27.217659,-9.304640,30.395931,True,True
1533985120.000000,46.704600,8.805050,15.339145,-11.680342,30.009584,True,True
1533985121.000000,46.704683,8.805083,0.000000,-9.763207,34.590708,True,True
1533985122.000000,46.704767,8.805083,-9.728172,-11.708836,33.358478,True,True
1533985123.000000,46.704833,8.805067,-34.440622,-16.651321,27.076124,True,True
1533985124.000000,46.704883,8.805017,-45.808631,-14.605258,24.269167,True,True
1533985125.000000,46.704950,8.804917,-50.196062,-13.107041,38.284955,True,True
1533985126.000000,46.705017,8.804800,-69.970018,-13.994004,41.687549,True,True
1533985127.000000,46.705050,8.804667,-80.796430,-14.213652,38.957552,True,True
1533985128.000000,46.705067,8.804517,-79.669430,-9.045762,41.713281,True,True
1533985129.000000,46.705083,8.804383,-89.999958,-8.838265,37.204223,True,True
1533985130.000000,46.705083,8.804267,-89.999958,-7.960779,32.025983,True,True
1533985131.000000,46.705083,8.804150,-112.618645,-8.529725,32.025983,True,True
1533985132.000000,46.705050,8.804033,-122.003830,-8.241480,34.694529,True,True
1533985133.000000,46.705000,8.803917,-122.003806,-8.466875,37.765984,True,True
1533985134.000000,46.704950,8.803800,-115.923505,-5.184709,37.766009,True,True
1533985135.000000,46.704917,8.803700,-126.096596,-7.219328,30.522108,True,True
1533985136.000000,46.704883,8.803633,-145.559342,-6.588139,22.648597,True,True
1533985137.000000,46.704833,8.803583,-167.124212,-9.024076,24.269167,True,True
1533985138.000000,46.704783,8.803567,164.660857,-14.667067,20.531338,True,True
1533985139.000000,46.704700,8.803600,167.124170,-15.390465,34.590703,True,True
1533985140.000000,46.704600,8.803633,145.559191,-17.668842,41.062681,True,True
1533985141.000000,46.704533,8.803700,145.559158,-13.776300,32.358945,True,True
1533985142.000000,46.704467,8.803767,131.183922,-12.338373,32.358958,True,True
1533985143.000000,46.704417,8.803850,139.396677,-5.052836,30.395952,True,True
1533985144.000000,46.704350,8.803933,131.183861,-7.188062,35.149619,True,True
1533985145.000000,46.704300,8.804017,112.618349,-6.588168,30.395989,True,True
1533985146.000000,46.704267,8.804133,103.660159,-8.379800,34.694958,True,True
